2017-03-20 00:00:04.620,0.02,0,
2017-03-20 00:00:05.120,0.03,-0.01,
2017-03-20 00:00:13.280,,,0.02
2017-03-20 00:00:13.780,,,0.03
2017-03-20 00:01:04.620,0,-0.01,
2017-03-20 00:01:05.120,0.03,-0.01,
2017-03-20 00:01:13.280,,,0.02
2017-03-20 00:01:13.780,,,0.03
2017-03-20 00:02:04.620,0,0.01,
2017-03-20 00:02:05.120,0.01,0,
2017-03-20 00:02:13.280,,,0.02
2017-03-20 00:02:13.780,,,0.02
2017-03-20 00:03:04.620,0.02,0,
2017-03-20 00:03:05.120,0.01,0,
2017-03-20 00:03:13.280,,,0.02
2017-03-20 00:03:13.780,,,0.02
2017-03-20 00:04:04.620,0.01,-0.01,
2017-03-20 00:04:05.120,0.01,-0.01,
2017-03-20 00:04:13.280,,,0.02
2017-03-20 00:04:13.780,,,0.03
2017-03-20 00:05:04.620,0.01,0,
2017-03-20 00:05:05.120,0.01,-0.01,
2017-03-20 00:05:13.280,,,0.02
2017-03-20 00:05:13.780,,,0.03
2017-03-20 00:06:04.620,0.02,0,
2017-03-20 00:06:05.120,0.02,-0.01,
2017-03-20 00:06:13.280,,,0.03
2017-03-20 00:06:13.780,,,0.02
2017-03-20 00:07:04.620,0.02,0.01,
2017-03-20 00:07:05.120,0.04,0,
2017-03-20 00:07:13.280,,,0.02
2017-03-20 00:07:13.780,,,0.03
2017-03-20 00:08:04.620,0.02,0,
2017-03-20 00:08:05.120,0.01,0,
2017-03-20 00:08:13.280,,,0.03
2017-03-20 00:08:13.780,,,0.03
2017-03-20 00:09:04.620,0.02,0,
2017-03-20 00:09:05.120,0.02,0,
2017-03-20 00:09:13.280,,,0.02
2017-03-20 00:09:13.780,,,0.03
2017-03-20 00:10:04.620,0.04,-0.01,
2017-03-20 00:10:05.120,0,0.02,
2017-03-20 00:10:13.280,,,0.02
2017-03-20 00:10:13.780,,,0.03
2017-03-20 00:11:04.620,0.03,-0.02,
2017-03-20 00:11:05.120,0.01,0,
2017-03-20 00:11:13.280,,,0.02
2017-03-20 00:11:13.780,,,0.02
2017-03-20 00:12:04.620,0,0.01,
2017-03-20 00:12:05.120,0.02,-0.02,
2017-03-20 00:12:13.280,,,0.03
2017-03-20 00:12:13.780,,,0.02
2017-03-20 00:13:04.620,0.01,-0.01,
2017-03-20 00:13:05.120,0.01,0.01,
2017-03-20 00:13:13.280,,,0.02
2017-03-20 00:13:13.780,,,0.02
2017-03-20 00:14:04.620,0.01,0,
2017-03-20 00:14:05.120,0.03,0,
2017-03-20 00:14:13.280,,,0.03
2017-03-20 00:14:13.780,,,0.02
2017-03-20 00:15:04.620,0.01,0,
2017-03-20 00:15:05.120,0.01,0,
2017-03-20 00:15:13.280,,,0.03
2017-03-20 00:15:13.780,,,0.03
2017-03-20 00:16:04.620,0.01,-0.01,
2017-03-20 00:16:05.120,0.02,0,
2017-03-20 00:16:13.280,,,0.03
2017-03-20 00:16:13.780,,,0.02
2017-03-20 00:17:04.620,0.02,0,
2017-03-20 00:17:05.120,0,0.01,
2017-03-20 00:17:13.280,,,0.02
2017-03-20 00:17:13.780,,,0.02
2017-03-20 00:18:04.620,0.02,-0.02,
2017-03-20 00:18:05.120,0.01,-0.02,
2017-03-20 00:18:13.280,,,0.03
2017-03-20 00:18:13.780,,,0.02
2017-03-20 00:19:04.620,0.01,0,
2017-03-20 00:19:05.120,0.02,-0.01,
2017-03-20 00:19:13.280,,,0.03
2017-03-20 00:19:13.780,,,0.02
2017-03-20 00:20:04.620,0.03,-0.01,
2017-03-20 00:20:05.120,0.01,-0.03,
2017-03-20 00:20:13.280,,,0.03
2017-03-20 00:20:13.780,,,0.02
2017-03-20 00:21:04.620,0.01,0,
2017-03-20 00:21:05.120,0.03,0,
2017-03-20 00:21:13.280,,,0.02
2017-03-20 00:21:13.780,,,0.02
2017-03-20 00:22:04.620,0.01,0.02,
2017-03-20 00:22:05.120,0,0.01,
2017-03-20 00:22:13.280,,,0.03
2017-03-20 00:22:13.780,,,0.02
2017-03-20 00:23:04.620,0.01,0,
2017-03-20 00:23:05.120,0.03,-0.02,
2017-03-20 00:23:13.280,,,0.02
2017-03-20 00:23:13.780,,,0.03
2017-03-20 00:24:04.620,0.03,-0.01,
2017-03-20 00:24:05.120,0.02,-0.01,
2017-03-20 00:24:13.280,,,0.02
2017-03-20 00:24:13.780,,,0.03
2017-03-20 00:25:04.620,0.01,0.02,
2017-03-20 00:25:05.120,0.03,0.01,
2017-03-20 00:25:13.280,,,0.02
2017-03-20 00:25:13.780,,,0.03
2017-03-20 00:26:04.620,0,0.02,
2017-03-20 00:26:05.120,0.02,0.01,
2017-03-20 00:26:13.280,,,0.02
2017-03-20 00:26:13.780,,,0.02
2017-03-20 00:27:04.620,0.01,-0.02,
2017-03-20 00:27:05.120,0.04,-0.02,
2017-03-20 00:27:13.280,,,0.02
2017-03-20 00:27:13.780,,,0.03
2017-03-20 00:28:04.620,0.01,0.02,
2017-03-20 00:28:05.120,0.02,0.02,
2017-03-20 00:28:13.280,,,0.02
2017-03-20 00:28:13.780,,,0.03
2017-03-20 00:29:04.620,0,-0.01,
2017-03-20 00:29:05.120,0.01,-0.01,
2017-03-20 00:29:13.280,,,0.03
2017-03-20 00:29:13.780,,,0.03
2017-03-20 00:30:04.620,0.02,0,
2017-03-20 00:30:05.120,0.03,0,
2017-03-20 00:30:13.280,,,0.02
2017-03-20 00:30:13.780,,,0.02
2017-03-20 00:31:04.620,0.01,0,
2017-03-20 00:31:05.120,-0.01,0,
2017-03-20 00:31:13.280,,,0.02
2017-03-20 00:31:13.780,,,0.02
2017-03-20 00:32:04.620,0.01,-0.01,
2017-03-20 00:32:05.120,0.01,-0.01,
2017-03-20 00:32:13.280,,,0.02
2017-03-20 00:32:13.780,,,0.02
2017-03-20 00:33:04.620,0,0.01,
2017-03-20 00:33:05.120,0,0.01,
2017-03-20 00:33:13.280,,,0.02
2017-03-20 00:33:13.780,,,0.02
2017-03-20 00:34:04.620,0.01,-0.02,
2017-03-20 00:34:05.120,0.01,-0.02,
2017-03-20 00:34:13.280,,,0.02
2017-03-20 00:34:13.780,,,0.02
2017-03-20 00:35:04.620,0.01,0.01,
2017-03-20 00:35:05.120,0.02,0,
2017-03-20 00:35:13.280,,,0.03
2017-03-20 00:35:13.780,,,0.03
2017-03-20 00:36:04.620,0.01,0.01,
2017-03-20 00:36:05.120,0,0,
2017-03-20 00:36:13.280,,,0.02
2017-03-20 00:36:13.780,,,0.02
2017-03-20 00:37:04.620,0.01,0,
2017-03-20 00:37:05.120,0.03,0,
2017-03-20 00:37:13.280,,,0.03
2017-03-20 00:37:13.780,,,0.02
